,その他,出生,区名,増減人口,差,差.1,日付,死亡,転入,転出
23,-12,125,平野区,-56,-80,24,2016-02-01,205,603,567
24,-58,36,西成区,-200,-211,11,2016-02-01,247,510,441
0,-184,1956,総数,-356,-788,432,2016-03-01,2744,13931,13315
1,-5,105,北区,267,24,243,2016-03-01,81,1111,863
2,-2,78,都島区,105,-2,107,2016-03-01,80,507,398
3,-3,68,福島区,39,14,25,2016-03-01,54,437,409
4,2,64,此花区,-6,-11,5,2016-03-01,75,268,265
5,-31,96,中央区,52,45,7,2016-03-01,51,950,912
6,-11,92,西区,128,38,90,2016-03-01,54,787,686
7,-11,61,港区,-17,-28,11,2016-03-01,89,357,335
8,-4,31,大正区,-85,-54,-31,2016-03-01,85,211,238
9,-1,59,天王寺区,71,6,65,2016-03-01,53,476,410
10,-7,51,浪速区,30,-20,50,2016-03-01,71,807,750
11,-24,70,西淀川区,-12,-11,-1,2016-03-01,81,371,348
12,0,131,淀川区,-118,-17,-101,2016-03-01,148,929,1030
13,-4,114,東淀川区,-89,-44,-45,2016-03-01,158,891,932
14,-13,67,東成区,-10,-12,2,2016-03-01,79,443,428
15,0,67,生野区,-107,-112,5,2016-03-01,179,589,584
16,0,57,旭区,-68,-40,-28,2016-03-01,97,347,375
17,10,122,城東区,-28,-52,24,2016-03-01,174,719,705
18,-4,101,鶴見区,-10,6,-16,2016-03-01,95,404,416
19,-5,78,阿倍野区,43,-32,75,2016-03-01,110,544,464
20,-4,80,住之江区,-54,-47,-7,2016-03-01,127,413,416
21,0,107,住吉区,-120,-61,-59,2016-03-01,168,593,652
22,-2,88,東住吉区,-54,-76,22,2016-03-01,164,574,550
23,-18,124,平野区,-124,-99,-25,2016-03-01,223,681,688
24,-47,45,西成区,-189,-203,14,2016-03-01,248,522,461
0,-574,1889,総数,1765,-766,2531,2016-04-01,2655,27665,24560
1,-47,113,北区,323,31,292,2016-04-01,82,2031,1692
2,-36,68,都島区,182,-39,221,2016-04-01,107,1094,837
3,1,60,福島区,254,13,241,2016-04-01,47,976,736
4,-13,44,此花区,-72,-16,-56,2016-04-01,60,430,473
5,-43,84,中央区,600,30,570,2016-04-01,54,2119,1506
6,-26,96,西区,662,41,621,2016-04-01,55,1911,1264
7,-53,61,港区,-37,-17,-20,2016-04-01,78,653,620
8,-34,28,大正区,-90,-58,-32,2016-04-01,86,388,386
9,1,63,天王寺区,32,0,32,2016-04-01,63,1079,1048
10,-4,51,浪速区,67,-17,84,2016-04-01,68,1309,1221
11,-12,64,西淀川区,-78,-24,-54,2016-04-01,88,685,727
12,-14,137,淀川区,490,9,481,2016-04-01,128,2279,1784
13,-3,109,東淀川区,211,-53,264,2016-04-01,162,1940,1673
14,-27,46,東成区,31,-45,76,2016-04-01,91,831,728
15,0,61,生野区,-59,-109,50,2016-04-01,170,1040,990
16,9,59,旭区,28,-63,91,2016-04-01,122,761,679
17,-4,141,城東区,49,-3,52,2016-04-01,144,1409,1353
18,-17,99,鶴見区,-11,28,-39,2016-04-01,71,793,815
19,-17,62,阿倍野区,-78,-38,-40,2016-04-01,100,1083,1106
20,-10,73,住之江区,-200,-39,-161,2016-04-01,112,728,879
21,3,110,住吉区,-44,-44,0,2016-04-01,154,1186,1189
22,-127,88,東住吉区,-47,-77,30,2016-04-01,165,1062,905
23,-24,117,平野区,-278,-91,-187,2016-04-01,208,1050,1213
24,-77,55,西成区,-170,-185,15,2016-04-01,240,828,736
0,-228,1806,総数,4554,-465,5019,2016-05-01,2271,22649,17402
1,-11,105,北区,418,27,391,2016-05-01,78,1630,1228
2,-4,84,都島区,235,3,232,2016-05-01,81,867,631
3,-2,70,福島区,78,27,51,2016-05-01,43,647,594
4,-2,40,此花区,-17,-16,-1,2016-05-01,56,337,336
5,-36,84,中央区,492,44,448,2016-05-01,40,1737,1253
6,-21,95,西区,770,61,709,2016-05-01,34,1626,896
7,-27,53,港区,-56,-17,-39,2016-05-01,70,420,432
