,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1811,2419,-608,14871,13277,-254,1340,732,,,2019-09-01
1,北区,115,69,46,994,833,-85,76,122,,,2019-09-01
2,都島区,66,79,-13,532,455,-3,74,61,,,2019-09-01
3,福島区,69,42,27,463,410,-7,46,73,,,2019-09-01
4,此花区,35,61,-26,283,300,-3,-20,-46,,,2019-09-01
5,中央区,85,39,46,1033,877,-8,148,194,,,2019-09-01
6,西区,89,50,39,755,731,-2,22,61,,,2019-09-01
7,港区,47,70,-23,339,297,-11,31,8,,,2019-09-01
8,大正区,27,76,-49,190,190,-3,-3,-52,,,2019-09-01
9,天王寺区,59,48,11,587,405,-2,180,191,,,2019-09-01
10,浪速区,46,60,-14,750,646,-15,89,75,,,2019-09-01
11,西淀川区,61,75,-14,455,431,-8,16,2,,,2019-09-01
12,淀川区,123,119,4,1050,909,-10,131,135,,,2019-09-01
13,東淀川区,111,168,-57,891,741,-13,137,80,,,2019-09-01
14,東成区,57,58,-1,763,597,1,167,166,,,2019-09-01
15,生野区,73,145,-72,713,626,-19,68,-4,,,2019-09-01
16,旭区,58,82,-24,365,340,-8,17,-7,,,2019-09-01
17,城東区,122,152,-30,750,643,-2,105,75,,,2019-09-01
18,鶴見区,85,89,-4,414,393,0,21,17,,,2019-09-01
19,阿倍野区,64,83,-19,535,512,-7,16,-3,,,2019-09-01
20,住之江区,66,117,-51,382,377,0,5,-46,,,2019-09-01
21,住吉区,108,166,-58,650,644,-5,1,-57,,,2019-09-01
22,東住吉区,81,152,-71,616,496,-8,112,41,,,2019-09-01
23,平野区,120,194,-74,800,806,0,-6,-80,,,2019-09-01
24,西成区,44,225,-181,561,618,-36,-93,-274,,,2019-09-01
