,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1857,2102,-245,14079,12522,-216,1341,1096,2016-07-01
1,北区,100,54,46,935,848,-8,79,125,2016-07-01
2,都島区,69,61,8,552,474,-3,75,83,2016-07-01
3,福島区,62,31,31,435,377,-1,57,88,2016-07-01
4,此花区,43,38,5,208,286,0,-78,-73,2016-07-01
5,中央区,102,49,53,1020,901,-36,83,136,2016-07-01
6,西区,110,47,63,816,703,-27,86,149,2016-07-01
7,港区,45,72,-27,291,346,-12,-67,-94,2016-07-01
8,大正区,44,48,-4,213,194,-7,12,8,2016-07-01
9,天王寺区,63,46,17,535,445,-2,88,105,2016-07-01
10,浪速区,44,49,-5,757,768,-11,-22,-27,2016-07-01
11,西淀川区,68,74,-6,387,329,-11,47,41,2016-07-01
12,淀川区,142,138,4,1030,842,-16,172,176,2016-07-01
13,東淀川区,112,129,-17,807,816,-11,-20,-37,2016-07-01
14,東成区,49,63,-14,486,399,-9,78,64,2016-07-01
15,生野区,78,139,-61,619,573,-6,40,-21,2016-07-01
16,旭区,54,90,-36,340,298,-2,40,4,2016-07-01
17,城東区,105,124,-19,725,561,-1,163,144,2016-07-01
18,鶴見区,75,78,-3,395,380,2,17,14,2016-07-01
19,阿倍野区,84,83,1,485,400,0,85,86,2016-07-01
20,住之江区,54,124,-70,365,382,-3,-20,-90,2016-07-01
21,住吉区,98,123,-25,818,622,-3,193,168,2016-07-01
22,東住吉区,81,114,-33,604,503,-5,96,63,2016-07-01
23,平野区,133,140,-7,655,568,-23,64,57,2016-07-01
24,西成区,42,188,-146,601,507,-21,73,-73,2016-07-01
