,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1666,2423,-757,13533,12424,-244,865,108,,,2018-01-01
1,北区,100,84,16,937,886,-11,40,56,,,2018-01-01
2,都島区,67,81,-14,502,439,2,65,51,,,2018-01-01
3,福島区,53,51,2,504,379,-2,123,125,,,2018-01-01
4,此花区,44,76,-32,223,290,6,-61,-93,,,2018-01-01
5,中央区,69,53,16,1028,881,-31,116,132,,,2018-01-01
6,西区,85,66,19,720,575,-7,138,157,,,2018-01-01
7,港区,40,64,-24,380,273,-12,95,71,,,2018-01-01
8,大正区,30,63,-33,190,165,0,25,-8,,,2018-01-01
9,天王寺区,49,54,-5,420,393,-26,1,-4,,,2018-01-01
10,浪速区,44,63,-19,767,745,-8,14,-5,,,2018-01-01
11,西淀川区,54,99,-45,384,395,-21,-32,-77,,,2018-01-01
12,淀川区,123,146,-23,1022,828,-9,185,162,,,2018-01-01
13,東淀川区,75,116,-41,777,770,-2,5,-36,,,2018-01-01
14,東成区,57,67,-10,482,432,-17,33,23,,,2018-01-01
15,生野区,64,145,-81,558,571,-2,-15,-96,,,2018-01-01
16,旭区,49,95,-46,337,305,-12,20,-26,,,2018-01-01
17,城東区,118,138,-20,672,688,0,-16,-36,,,2018-01-01
18,鶴見区,87,76,11,354,412,-8,-66,-55,,,2018-01-01
19,阿倍野区,60,97,-37,512,390,-6,116,79,,,2018-01-01
20,住之江区,68,127,-59,412,380,-2,30,-29,,,2018-01-01
21,住吉区,87,122,-35,583,719,1,-135,-170,,,2018-01-01
22,東住吉区,69,154,-85,565,481,3,87,2,,,2018-01-01
23,平野区,134,194,-60,659,611,-19,29,-31,,,2018-01-01
24,西成区,40,192,-152,545,416,-61,68,-84,,,2018-01-01
