,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1808,2402,-594,14283,13001,-131,1151,557,,,2018-12-01
1,北区,114,75,39,1045,901,-9,135,174,,,2018-12-01
2,都島区,72,85,-13,473,480,-1,-8,-21,,,2018-12-01
3,福島区,81,52,29,493,415,1,79,108,,,2018-12-01
4,此花区,51,56,-5,249,212,-1,36,31,,,2018-12-01
5,中央区,76,53,23,1034,899,-16,119,142,,,2018-12-01
6,西区,116,40,76,759,707,4,56,132,,,2018-12-01
7,港区,55,81,-26,307,333,-4,-30,-56,,,2018-12-01
8,大正区,24,77,-53,176,201,-2,-27,-80,,,2018-12-01
9,天王寺区,52,41,11,447,402,-3,42,53,,,2018-12-01
10,浪速区,45,44,1,772,852,-13,-93,-92,,,2018-12-01
11,西淀川区,58,85,-27,427,439,-1,-13,-40,,,2018-12-01
12,淀川区,116,128,-12,1039,991,-25,23,11,,,2018-12-01
13,東淀川区,114,145,-31,887,752,-4,131,100,,,2018-12-01
14,東成区,55,69,-14,637,509,-8,120,106,,,2018-12-01
15,生野区,73,146,-73,650,581,-4,65,-8,,,2018-12-01
16,旭区,46,102,-56,324,309,-5,10,-46,,,2018-12-01
17,城東区,105,150,-45,713,641,-4,68,23,,,2018-12-01
18,鶴見区,91,91,0,438,327,-1,110,110,,,2018-12-01
19,阿倍野区,77,96,-19,412,417,-4,-9,-28,,,2018-12-01
20,住之江区,72,105,-33,383,402,-2,-21,-54,,,2018-12-01
21,住吉区,90,123,-33,663,598,5,70,37,,,2018-12-01
22,東住吉区,80,155,-75,535,429,-8,98,23,,,2018-12-01
23,平野区,111,196,-85,846,712,-5,129,44,,,2018-12-01
24,西成区,34,207,-173,574,492,-21,61,-112,,,2018-12-01
