,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1849,2513,-664,27019,22429,-41,4549,3885,,,2020-05-01
1,北区,102,83,19,2254,1457,6,803,822,,,2020-05-01
2,都島区,68,64,4,929,850,2,81,85,,,2020-05-01
3,福島区,87,53,34,820,745,4,79,113,,,2020-05-01
4,此花区,37,70,-33,456,396,-4,56,23,,,2020-05-01
5,中央区,100,55,45,2127,1583,3,547,592,,,2020-05-01
6,西区,93,48,45,1596,1222,-3,371,416,,,2020-05-01
7,港区,34,66,-32,593,606,2,-11,-43,,,2020-05-01
8,大正区,33,66,-33,296,331,8,-27,-60,,,2020-05-01
9,天王寺区,66,50,16,945,808,-2,135,151,,,2020-05-01
10,浪速区,58,51,7,1732,1397,-10,325,332,,,2020-05-01
11,西淀川区,59,79,-20,740,608,-4,128,108,,,2020-05-01
12,淀川区,126,141,-15,2166,1733,8,441,426,,,2020-05-01
13,東淀川区,110,142,-32,1674,1366,-21,287,255,,,2020-05-01
14,東成区,67,62,5,897,818,-8,71,76,,,2020-05-01
15,生野区,68,187,-119,1148,1053,3,98,-21,,,2020-05-01
16,旭区,49,125,-76,646,549,5,102,26,,,2020-05-01
17,城東区,132,150,-18,1340,1097,-1,242,224,,,2020-05-01
18,鶴見区,97,90,7,624,593,6,37,44,,,2020-05-01
19,阿倍野区,85,86,-1,958,781,-4,173,172,,,2020-05-01
20,住之江区,52,138,-86,708,609,-14,85,-1,,,2020-05-01
21,住吉区,101,158,-57,1009,944,12,77,20,,,2020-05-01
22,東住吉区,84,132,-48,1200,820,-8,372,324,,,2020-05-01
23,平野区,107,219,-112,965,1146,16,-165,-277,,,2020-05-01
24,西成区,34,198,-164,1196,917,-37,242,78,,,2020-05-01
