,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1889,2655,-766,27665,24560,-574,2531,1765,2016-04-01
1,北区,113,82,31,2031,1692,-47,292,323,2016-04-01
2,都島区,68,107,-39,1094,837,-36,221,182,2016-04-01
3,福島区,60,47,13,976,736,1,241,254,2016-04-01
4,此花区,44,60,-16,430,473,-13,-56,-72,2016-04-01
5,中央区,84,54,30,2119,1506,-43,570,600,2016-04-01
6,西区,96,55,41,1911,1264,-26,621,662,2016-04-01
7,港区,61,78,-17,653,620,-53,-20,-37,2016-04-01
8,大正区,28,86,-58,388,386,-34,-32,-90,2016-04-01
9,天王寺区,63,63,0,1079,1048,1,32,32,2016-04-01
10,浪速区,51,68,-17,1309,1221,-4,84,67,2016-04-01
11,西淀川区,64,88,-24,685,727,-12,-54,-78,2016-04-01
12,淀川区,137,128,9,2279,1784,-14,481,490,2016-04-01
13,東淀川区,109,162,-53,1940,1673,-3,264,211,2016-04-01
14,東成区,46,91,-45,831,728,-27,76,31,2016-04-01
15,生野区,61,170,-109,1040,990,0,50,-59,2016-04-01
16,旭区,59,122,-63,761,679,9,91,28,2016-04-01
17,城東区,141,144,-3,1409,1353,-4,52,49,2016-04-01
18,鶴見区,99,71,28,793,815,-17,-39,-11,2016-04-01
19,阿倍野区,62,100,-38,1083,1106,-17,-40,-78,2016-04-01
20,住之江区,73,112,-39,728,879,-10,-161,-200,2016-04-01
21,住吉区,110,154,-44,1186,1189,3,0,-44,2016-04-01
22,東住吉区,88,165,-77,1062,905,-127,30,-47,2016-04-01
23,平野区,117,208,-91,1050,1213,-24,-187,-278,2016-04-01
24,西成区,55,240,-185,828,736,-77,15,-170,2016-04-01
