,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1789,2480,-691,12790,12000,-259,531,-160,,,2017-01-01
1,北区,101,86,15,880,767,-5,108,123,,,2017-01-01
2,都島区,73,90,-17,445,441,0,4,-13,,,2017-01-01
3,福島区,66,52,14,402,348,-2,52,66,,,2017-01-01
4,此花区,58,53,5,253,219,2,36,41,,,2017-01-01
5,中央区,80,52,28,879,941,-19,-81,-53,,,2017-01-01
6,西区,105,61,44,752,673,-13,66,110,,,2017-01-01
7,港区,45,81,-36,232,276,-6,-50,-86,,,2017-01-01
8,大正区,41,61,-20,155,158,-20,-23,-43,,,2017-01-01
9,天王寺区,54,47,7,507,412,-18,77,84,,,2017-01-01
10,浪速区,43,48,-5,667,676,-7,-16,-21,,,2017-01-01
11,西淀川区,62,87,-25,319,302,-6,11,-14,,,2017-01-01
12,淀川区,109,143,-34,1002,879,-18,105,71,,,2017-01-01
13,東淀川区,99,145,-46,787,824,-2,-39,-85,,,2017-01-01
14,東成区,59,79,-20,522,366,-4,152,132,,,2017-01-01
15,生野区,50,168,-118,530,537,-60,-67,-185,,,2017-01-01
16,旭区,50,92,-42,373,345,-6,22,-20,,,2017-01-01
17,城東区,99,149,-50,671,547,-39,85,35,,,2017-01-01
18,鶴見区,94,79,15,374,349,0,25,40,,,2017-01-01
19,阿倍野区,73,78,-5,428,446,-7,-25,-30,,,2017-01-01
20,住之江区,64,129,-65,403,394,-4,5,-60,,,2017-01-01
21,住吉区,119,142,-23,544,670,-1,-127,-150,,,2017-01-01
22,東住吉区,92,130,-38,500,466,-3,31,-7,,,2017-01-01
23,平野区,113,216,-103,635,534,-16,85,-18,,,2017-01-01
24,西成区,40,212,-172,530,430,-5,95,-77,,,2017-01-01
