,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1936,2492,-556,15954,14145,-346,1463,907,,,2018-08-01
1,北区,114,70,44,1156,971,-23,162,206,,,2018-08-01
2,都島区,92,102,-10,649,524,-3,122,112,,,2018-08-01
3,福島区,71,55,16,551,460,-3,88,104,,,2018-08-01
4,此花区,43,81,-38,240,240,-5,-5,-43,,,2018-08-01
5,中央区,83,57,26,1151,994,-28,129,155,,,2018-08-01
6,西区,85,52,33,995,823,6,178,211,,,2018-08-01
7,港区,48,85,-37,320,342,-7,-29,-66,,,2018-08-01
8,大正区,50,74,-24,234,234,-1,-1,-25,,,2018-08-01
9,天王寺区,54,55,-1,575,451,-2,122,121,,,2018-08-01
10,浪速区,59,59,0,900,816,-13,71,71,,,2018-08-01
11,西淀川区,77,99,-22,454,410,-7,37,15,,,2018-08-01
12,淀川区,128,123,5,1145,1058,-59,28,33,,,2018-08-01
13,東淀川区,93,130,-37,861,902,-6,-47,-84,,,2018-08-01
14,東成区,49,70,-21,599,548,-3,48,27,,,2018-08-01
15,生野区,65,150,-85,705,697,-21,-13,-98,,,2018-08-01
16,旭区,62,92,-30,392,388,-16,-12,-42,,,2018-08-01
17,城東区,146,140,6,825,707,-2,116,122,,,2018-08-01
18,鶴見区,106,75,31,419,365,3,57,88,,,2018-08-01
19,阿倍野区,88,85,3,529,480,-25,24,27,,,2018-08-01
20,住之江区,80,117,-37,426,392,-1,33,-4,,,2018-08-01
21,住吉区,93,137,-44,702,570,-9,123,79,,,2018-08-01
22,東住吉区,91,161,-70,602,540,-14,48,-22,,,2018-08-01
23,平野区,126,194,-68,775,703,-24,48,-20,,,2018-08-01
24,西成区,33,229,-196,749,530,-83,136,-60,,,2018-08-01
