,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1851,2476,-625,13608,12563,-207,838,213,,,2017-12-01
1,北区,122,90,32,918,820,-14,84,116,,,2017-12-01
2,都島区,75,80,-5,461,463,2,0,-5,,,2017-12-01
3,福島区,58,44,14,457,374,-5,78,92,,,2017-12-01
4,此花区,43,63,-20,210,237,0,-27,-47,,,2017-12-01
5,中央区,81,55,26,935,804,-17,114,140,,,2017-12-01
6,西区,85,52,33,810,636,-13,161,194,,,2017-12-01
7,港区,36,97,-61,320,289,-1,30,-31,,,2017-12-01
8,大正区,32,73,-41,214,183,-7,24,-17,,,2017-12-01
9,天王寺区,63,33,30,398,404,1,-5,25,,,2017-12-01
10,浪速区,42,52,-10,772,759,-48,-35,-45,,,2017-12-01
11,西淀川区,69,87,-18,420,342,-4,74,56,,,2017-12-01
12,淀川区,123,150,-27,973,898,-6,69,42,,,2017-12-01
13,東淀川区,114,143,-29,841,775,4,70,41,,,2017-12-01
14,東成区,70,76,-6,562,406,-12,144,138,,,2017-12-01
15,生野区,55,166,-111,555,589,-6,-40,-151,,,2017-12-01
16,旭区,59,93,-34,421,356,-2,63,29,,,2017-12-01
17,城東区,128,150,-22,702,719,-5,-22,-44,,,2017-12-01
18,鶴見区,83,86,-3,365,387,0,-22,-25,,,2017-12-01
19,阿倍野区,59,92,-33,463,482,-6,-25,-58,,,2017-12-01
20,住之江区,81,106,-25,403,401,-5,-3,-28,,,2017-12-01
21,住吉区,117,150,-33,613,621,-17,-25,-58,,,2017-12-01
22,東住吉区,90,140,-50,517,497,-5,15,-35,,,2017-12-01
23,平野区,119,193,-74,701,663,-6,32,-42,,,2017-12-01
24,西成区,47,205,-158,577,458,-35,84,-74,,,2017-12-01
