,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1782,2214,-432,14341,12617,-308,1416,984,,,2017-07-01
1,北区,108,72,36,1076,789,-34,253,289,,,2017-07-01
2,都島区,58,78,-20,515,498,-7,10,-10,,,2017-07-01
3,福島区,69,38,31,453,388,-3,62,93,,,2017-07-01
4,此花区,32,56,-24,275,265,-9,1,-23,,,2017-07-01
5,中央区,77,57,20,927,918,-34,-25,-5,,,2017-07-01
6,西区,87,47,40,816,647,-16,153,193,,,2017-07-01
7,港区,43,76,-33,327,239,-16,72,39,,,2017-07-01
8,大正区,31,61,-30,211,207,3,7,-23,,,2017-07-01
9,天王寺区,70,47,23,523,460,-7,56,79,,,2017-07-01
10,浪速区,53,55,-2,784,724,-11,49,47,,,2017-07-01
11,西淀川区,79,67,12,441,368,-7,66,78,,,2017-07-01
12,淀川区,101,115,-14,1057,946,-17,94,80,,,2017-07-01
13,東淀川区,108,110,-2,831,808,-9,14,12,,,2017-07-01
14,東成区,46,71,-25,494,482,-11,1,-24,,,2017-07-01
15,生野区,61,151,-90,661,607,-8,46,-44,,,2017-07-01
16,旭区,69,93,-24,376,316,-41,19,-5,,,2017-07-01
17,城東区,120,124,-4,656,613,-3,40,36,,,2017-07-01
18,鶴見区,95,76,19,392,346,4,50,69,,,2017-07-01
19,阿倍野区,74,84,-10,558,457,-4,97,87,,,2017-07-01
20,住之江区,67,101,-34,361,391,0,-30,-64,,,2017-07-01
21,住吉区,89,130,-41,747,619,-3,125,84,,,2017-07-01
22,東住吉区,80,149,-69,547,462,-12,73,4,,,2017-07-01
23,平野区,125,161,-36,739,600,-20,119,83,,,2017-07-01
24,西成区,40,195,-155,574,467,-43,64,-91,,,2017-07-01
