,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1743,2702,-959,31046,27101,-382,3563,2604,,,2020-04-01
1,北区,110,88,22,2476,1747,-14,715,737,,,2020-04-01
2,都島区,72,112,-40,1074,1026,-10,38,-2,,,2020-04-01
3,福島区,73,54,19,991,813,-15,163,182,,,2020-04-01
4,此花区,41,65,-24,524,573,-7,-56,-80,,,2020-04-01
5,中央区,71,56,15,2151,1669,-11,471,486,,,2020-04-01
6,西区,95,55,40,1669,1502,4,171,211,,,2020-04-01
7,港区,53,90,-37,844,687,-8,149,112,,,2020-04-01
8,大正区,35,62,-27,371,390,1,-18,-45,,,2020-04-01
9,天王寺区,73,58,15,1212,1057,-6,149,164,,,2020-04-01
10,浪速区,51,56,-5,1579,1303,-7,269,264,,,2020-04-01
11,西淀川区,67,111,-44,1004,798,-18,188,144,,,2020-04-01
12,淀川区,118,142,-24,2748,2011,5,742,718,,,2020-04-01
13,東淀川区,111,146,-35,2229,1725,-44,460,425,,,2020-04-01
14,東成区,50,66,-16,1279,983,-31,265,249,,,2020-04-01
15,生野区,68,188,-120,1258,1234,-48,-24,-144,,,2020-04-01
16,旭区,47,109,-62,832,706,-18,108,46,,,2020-04-01
17,城東区,105,164,-59,1508,1473,4,39,-20,,,2020-04-01
18,鶴見区,88,81,7,802,833,6,-25,-18,,,2020-04-01
19,阿倍野区,59,116,-57,1185,1163,-42,-20,-77,,,2020-04-01
20,住之江区,54,114,-60,782,943,-1,-162,-222,,,2020-04-01
21,住吉区,103,164,-61,1228,1285,-5,-62,-123,,,2020-04-01
22,東住吉区,71,137,-66,1137,894,-46,197,131,,,2020-04-01
23,平野区,90,228,-138,1158,1396,-1,-239,-377,,,2020-04-01
24,西成区,38,240,-202,1005,890,-70,45,-157,,,2020-04-01
