,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1806,2271,-465,22649,17402,-228,5019,4554,2016-05-01
1,北区,105,78,27,1630,1228,-11,391,418,2016-05-01
2,都島区,84,81,3,867,631,-4,232,235,2016-05-01
3,福島区,70,43,27,647,594,-2,51,78,2016-05-01
4,此花区,40,56,-16,337,336,-2,-1,-17,2016-05-01
5,中央区,84,40,44,1737,1253,-36,448,492,2016-05-01
6,西区,95,34,61,1626,896,-21,709,770,2016-05-01
7,港区,53,70,-17,420,432,-27,-39,-56,2016-05-01
8,大正区,33,75,-42,283,294,-2,-13,-55,2016-05-01
9,天王寺区,59,45,14,933,628,-7,298,312,2016-05-01
10,浪速区,44,47,-3,1213,963,-11,239,236,2016-05-01
11,西淀川区,57,68,-11,565,439,-5,121,110,2016-05-01
12,淀川区,120,117,3,1805,1295,-18,492,495,2016-05-01
13,東淀川区,120,146,-26,1356,1141,7,222,196,2016-05-01
14,東成区,56,72,-16,692,527,-11,154,138,2016-05-01
15,生野区,68,150,-82,1150,745,-9,396,314,2016-05-01
16,旭区,51,70,-19,568,439,-6,123,104,2016-05-01
17,城東区,90,129,-39,1096,934,-5,157,118,2016-05-01
18,鶴見区,89,82,7,610,620,-2,-12,-5,2016-05-01
19,阿倍野区,79,85,-6,970,709,-17,244,238,2016-05-01
20,住之江区,68,101,-33,560,528,0,32,-1,2016-05-01
21,住吉区,115,131,-16,983,759,1,225,209,2016-05-01
22,東住吉区,69,128,-59,794,588,-9,197,138,2016-05-01
23,平野区,123,201,-78,878,882,-15,-19,-97,2016-05-01
24,西成区,34,222,-188,929,541,-16,372,184,2016-05-01
