,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1697,2120,-423,13181,11889,-218,1074,651,,,2018-10-01
1,北区,96,72,24,883,787,-8,88,112,,,2018-10-01
2,都島区,78,70,8,519,478,-19,22,30,,,2018-10-01
3,福島区,73,52,21,734,365,-4,365,386,,,2018-10-01
4,此花区,45,50,-5,194,259,-2,-67,-72,,,2018-10-01
5,中央区,73,34,39,923,785,-14,124,163,,,2018-10-01
6,西区,100,55,45,665,631,-1,33,78,,,2018-10-01
7,港区,48,63,-15,278,285,-8,-15,-30,,,2018-10-01
8,大正区,35,69,-34,163,131,0,32,-2,,,2018-10-01
9,天王寺区,56,33,23,497,358,-4,135,158,,,2018-10-01
10,浪速区,53,45,8,713,681,-15,17,25,,,2018-10-01
11,西淀川区,64,70,-6,409,355,-10,44,38,,,2018-10-01
12,淀川区,114,123,-9,960,843,-3,114,105,,,2018-10-01
13,東淀川区,97,118,-21,775,728,-16,31,10,,,2018-10-01
14,東成区,39,75,-36,487,500,-3,-16,-52,,,2018-10-01
15,生野区,60,104,-44,550,581,-6,-37,-81,,,2018-10-01
16,旭区,45,82,-37,354,327,-11,16,-21,,,2018-10-01
17,城東区,105,122,-17,723,631,0,92,75,,,2018-10-01
18,鶴見区,76,75,1,338,318,3,23,24,,,2018-10-01
19,阿倍野区,64,73,-9,504,407,-27,70,61,,,2018-10-01
20,住之江区,57,106,-49,369,374,-2,-7,-56,,,2018-10-01
21,住吉区,90,137,-47,529,494,-12,23,-24,,,2018-10-01
22,東住吉区,81,118,-37,522,488,-33,1,-36,,,2018-10-01
23,平野区,114,167,-53,567,637,4,-66,-119,,,2018-10-01
24,西成区,34,207,-173,525,446,-27,52,-121,,,2018-10-01
