,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1937,2495,-558,15110,13906,-298,906,348,,,2018-09-01
1,北区,124,73,51,1028,812,-17,199,250,,,2018-09-01
2,都島区,78,88,-10,554,508,-5,41,31,,,2018-09-01
3,福島区,66,42,24,568,405,-14,149,173,,,2018-09-01
4,此花区,46,60,-14,277,271,6,12,-2,,,2018-09-01
5,中央区,94,52,42,1015,981,-10,24,66,,,2018-09-01
6,西区,95,50,45,797,718,2,81,126,,,2018-09-01
7,港区,45,68,-23,280,355,-2,-77,-100,,,2018-09-01
8,大正区,44,59,-15,175,194,-2,-21,-36,,,2018-09-01
9,天王寺区,53,48,5,536,454,-4,78,83,,,2018-09-01
10,浪速区,52,57,-5,765,738,-8,19,14,,,2018-09-01
11,西淀川区,60,77,-17,440,407,-27,6,-11,,,2018-09-01
12,淀川区,154,146,8,1001,1029,-86,-114,-106,,,2018-09-01
13,東淀川区,105,162,-57,932,900,-9,23,-34,,,2018-09-01
14,東成区,50,61,-11,699,519,-5,175,164,,,2018-09-01
15,生野区,80,152,-72,655,704,-10,-59,-131,,,2018-09-01
16,旭区,52,87,-35,431,404,-5,22,-13,,,2018-09-01
17,城東区,133,161,-28,712,704,-1,7,-21,,,2018-09-01
18,鶴見区,106,87,19,425,373,1,53,72,,,2018-09-01
19,阿倍野区,68,99,-31,565,530,-10,25,-6,,,2018-09-01
20,住之江区,70,120,-50,476,428,-3,45,-5,,,2018-09-01
21,住吉区,105,153,-48,839,708,-10,121,73,,,2018-09-01
22,東住吉区,80,156,-76,617,462,-17,138,62,,,2018-09-01
23,平野区,124,194,-70,727,808,-7,-88,-158,,,2018-09-01
24,西成区,53,243,-190,596,494,-55,47,-143,,,2018-09-01
