,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1691,2216,-525,14339,12586,-226,1527,1002,,,2018-07-01
1,北区,96,71,25,1043,790,-12,241,266,,,2018-07-01
2,都島区,76,77,-1,514,487,-3,24,23,,,2018-07-01
3,福島区,53,50,3,424,368,-4,52,55,,,2018-07-01
4,此花区,28,52,-24,257,273,-6,-22,-46,,,2018-07-01
5,中央区,83,41,42,988,864,-26,98,140,,,2018-07-01
6,西区,95,39,56,906,649,0,257,313,,,2018-07-01
7,港区,50,71,-21,323,324,-12,-13,-34,,,2018-07-01
8,大正区,22,79,-57,217,244,0,-27,-84,,,2018-07-01
9,天王寺区,61,53,8,451,391,-7,53,61,,,2018-07-01
10,浪速区,44,50,-6,746,732,-11,3,-3,,,2018-07-01
11,西淀川区,68,60,8,452,331,-11,110,118,,,2018-07-01
12,淀川区,109,125,-16,1007,944,-6,57,41,,,2018-07-01
13,東淀川区,110,133,-23,858,734,-12,112,89,,,2018-07-01
14,東成区,59,79,-20,520,462,-8,50,30,,,2018-07-01
15,生野区,52,146,-94,667,624,-5,38,-56,,,2018-07-01
16,旭区,50,108,-58,430,331,-7,92,34,,,2018-07-01
17,城東区,116,123,-7,766,650,-3,113,106,,,2018-07-01
18,鶴見区,102,86,16,413,354,3,62,78,,,2018-07-01
19,阿倍野区,69,97,-28,501,482,-11,8,-20,,,2018-07-01
20,住之江区,61,99,-38,411,362,-2,47,9,,,2018-07-01
21,住吉区,91,111,-20,698,557,-7,134,114,,,2018-07-01
22,東住吉区,48,118,-70,521,533,-22,-34,-104,,,2018-07-01
23,平野区,110,156,-46,596,633,-19,-56,-102,,,2018-07-01
24,西成区,38,192,-154,630,467,-35,128,-26,,,2018-07-01
