,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1642,2570,-928,29434,26125,-325,2984,2056,,,2019-04-01
1,北区,96,81,15,2126,1781,-32,313,328,,,2019-04-01
2,都島区,55,85,-30,1126,999,-26,101,71,,,2019-04-01
3,福島区,60,60,0,1338,884,3,457,457,,,2019-04-01
4,此花区,33,69,-36,404,520,0,-116,-152,,,2019-04-01
5,中央区,74,55,19,2103,1579,-19,505,524,,,2019-04-01
6,西区,89,52,37,1908,1377,-5,526,563,,,2019-04-01
7,港区,51,89,-38,682,718,-49,-85,-123,,,2019-04-01
8,大正区,22,73,-51,313,384,1,-70,-121,,,2019-04-01
9,天王寺区,68,54,14,1277,968,-4,305,319,,,2019-04-01
10,浪速区,53,58,-5,1486,1191,-20,275,270,,,2019-04-01
11,西淀川区,54,88,-34,862,820,-7,35,1,,,2019-04-01
12,淀川区,118,98,20,2268,2004,-4,260,280,,,2019-04-01
13,東淀川区,93,181,-88,2064,1693,4,375,287,,,2019-04-01
14,東成区,58,66,-8,1040,930,-5,105,97,,,2019-04-01
15,生野区,51,162,-111,1090,1150,2,-58,-169,,,2019-04-01
16,旭区,51,94,-43,631,729,-11,-109,-152,,,2019-04-01
17,城東区,117,126,-9,1404,1382,1,23,14,,,2019-04-01
18,鶴見区,70,90,-20,708,778,-1,-71,-91,,,2019-04-01
19,阿倍野区,62,97,-35,1303,1115,-49,139,104,,,2019-04-01
20,住之江区,52,126,-74,744,755,-2,-13,-87,,,2019-04-01
21,住吉区,77,160,-83,1224,1224,-16,-16,-99,,,2019-04-01
22,東住吉区,67,174,-107,1197,946,-18,233,126,,,2019-04-01
23,平野区,128,217,-89,1195,1381,1,-185,-274,,,2019-04-01
24,西成区,43,215,-172,941,817,-69,55,-117,,,2019-04-01
