,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1826,2212,-386,13609,12017,-205,1387,1001,,,2017-10-01
1,北区,107,69,38,885,813,-15,57,95,,,2017-10-01
2,都島区,68,74,-6,508,388,-2,118,112,,,2017-10-01
3,福島区,62,59,3,433,380,1,54,57,,,2017-10-01
4,此花区,56,51,5,257,186,-5,66,71,,,2017-10-01
5,中央区,79,45,34,921,838,-26,57,91,,,2017-10-01
6,西区,99,36,63,807,692,-16,99,162,,,2017-10-01
7,港区,47,63,-16,304,312,-12,-20,-36,,,2017-10-01
8,大正区,40,51,-11,188,218,3,-27,-38,,,2017-10-01
9,天王寺区,68,37,31,405,394,-12,-1,30,,,2017-10-01
10,浪速区,37,45,-8,786,708,-6,72,64,,,2017-10-01
11,西淀川区,60,73,-13,349,336,-3,10,-3,,,2017-10-01
12,淀川区,119,119,0,976,867,-11,98,98,,,2017-10-01
13,東淀川区,133,135,-2,876,752,-12,112,110,,,2017-10-01
14,東成区,47,73,-26,461,396,-6,59,33,,,2017-10-01
15,生野区,88,144,-56,633,507,-5,121,65,,,2017-10-01
16,旭区,47,87,-40,347,284,-1,62,22,,,2017-10-01
17,城東区,112,125,-13,678,637,-1,40,27,,,2017-10-01
18,鶴見区,94,72,22,342,372,-1,-31,-9,,,2017-10-01
19,阿倍野区,63,91,-28,569,474,-10,85,57,,,2017-10-01
20,住之江区,67,99,-32,461,321,1,141,109,,,2017-10-01
21,住吉区,100,144,-44,600,579,-3,18,-26,,,2017-10-01
22,東住吉区,71,137,-66,545,481,-7,57,-9,,,2017-10-01
23,平野区,116,165,-49,612,587,-17,8,-41,,,2017-10-01
24,西成区,46,218,-172,666,495,-39,132,-40,,,2017-10-01
