,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1871,3192,-1321,14808,13447,-176,1185,-136,,,2020-02-01
1,北区,98,106,-8,990,942,-13,35,27,,,2020-02-01
2,都島区,62,121,-59,448,470,0,-22,-81,,,2020-02-01
3,福島区,82,51,31,470,401,-7,62,93,,,2020-02-01
4,此花区,50,100,-50,319,329,-11,-21,-71,,,2020-02-01
5,中央区,80,68,12,1240,881,0,359,371,,,2020-02-01
6,西区,81,80,1,866,763,-2,101,102,,,2020-02-01
7,港区,47,114,-67,464,351,-18,95,28,,,2020-02-01
8,大正区,35,82,-47,203,245,-4,-46,-93,,,2020-02-01
9,天王寺区,64,69,-5,477,429,-8,40,35,,,2020-02-01
10,浪速区,53,66,-13,806,733,-19,54,41,,,2020-02-01
11,西淀川区,70,98,-28,437,384,-4,49,21,,,2020-02-01
12,淀川区,135,179,-44,995,1024,-29,-58,-102,,,2020-02-01
13,東淀川区,116,175,-59,888,855,-7,26,-33,,,2020-02-01
14,東成区,64,99,-35,571,524,-5,42,7,,,2020-02-01
15,生野区,61,159,-98,706,623,-3,80,-18,,,2020-02-01
16,旭区,50,116,-66,320,343,2,-21,-87,,,2020-02-01
17,城東区,135,165,-30,686,652,0,34,4,,,2020-02-01
18,鶴見区,97,124,-27,402,308,0,94,67,,,2020-02-01
19,阿倍野区,76,115,-39,510,433,-11,66,27,,,2020-02-01
20,住之江区,74,165,-91,383,382,-11,-10,-101,,,2020-02-01
21,住吉区,89,183,-94,646,574,1,73,-21,,,2020-02-01
22,東住吉区,98,203,-105,614,490,-6,118,13,,,2020-02-01
23,平野区,107,300,-193,742,803,8,-53,-246,,,2020-02-01
24,西成区,47,254,-207,625,508,-29,88,-119,,,2020-02-01
