,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1688,2253,-565,24854,19325,-225,5304,4739,,,2018-05-01
1,北区,89,92,-3,2183,1285,-27,871,868,,,2018-05-01
2,都島区,82,73,9,839,771,-7,61,70,,,2018-05-01
3,福島区,55,54,1,766,661,-2,103,104,,,2018-05-01
4,此花区,41,49,-8,396,348,0,48,40,,,2018-05-01
5,中央区,82,51,31,1642,1417,-41,184,215,,,2018-05-01
6,西区,97,41,56,1605,1111,-7,487,543,,,2018-05-01
7,港区,53,69,-16,606,457,-14,135,119,,,2018-05-01
8,大正区,30,69,-39,281,306,-2,-27,-66,,,2018-05-01
9,天王寺区,56,39,17,856,650,-2,204,221,,,2018-05-01
10,浪速区,34,42,-8,1443,975,-6,462,454,,,2018-05-01
11,西淀川区,65,63,2,617,549,-11,57,59,,,2018-05-01
12,淀川区,125,112,13,2088,1434,-3,651,664,,,2018-05-01
13,東淀川区,95,140,-45,1526,1190,-1,335,290,,,2018-05-01
14,東成区,43,61,-18,894,705,-19,170,152,,,2018-05-01
15,生野区,65,157,-92,1379,889,3,493,401,,,2018-05-01
16,旭区,45,86,-41,587,451,-1,135,94,,,2018-05-01
17,城東区,113,143,-30,1100,1118,4,-14,-44,,,2018-05-01
18,鶴見区,90,79,11,566,595,1,-28,-17,,,2018-05-01
19,阿倍野区,69,91,-22,977,704,-18,255,233,,,2018-05-01
20,住之江区,64,114,-50,600,539,-1,60,10,,,2018-05-01
21,住吉区,74,128,-54,943,843,-2,98,44,,,2018-05-01
22,東住吉区,81,119,-38,866,750,-8,108,70,,,2018-05-01
23,平野区,108,187,-79,935,894,-14,27,-52,,,2018-05-01
24,西成区,32,194,-162,1159,683,-47,429,267,,,2018-05-01
