,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,2045,2625,-580,16877,15739,-188,950,370,,,2018-06-01
1,北区,138,108,30,1260,1063,-47,150,180,,,2018-06-01
2,都島区,72,85,-13,649,609,-3,37,24,,,2018-06-01
3,福島区,69,52,17,597,440,-2,155,172,,,2018-06-01
4,此花区,40,63,-23,250,296,3,-43,-66,,,2018-06-01
5,中央区,105,66,39,1260,1070,-35,155,194,,,2018-06-01
6,西区,106,44,62,975,876,4,103,165,,,2018-06-01
7,港区,46,85,-39,368,374,-6,-12,-51,,,2018-06-01
8,大正区,28,66,-38,209,231,5,-17,-55,,,2018-06-01
9,天王寺区,74,58,16,496,591,-3,-98,-82,,,2018-06-01
10,浪速区,65,76,-11,869,829,-14,26,15,,,2018-06-01
11,西淀川区,70,88,-18,483,465,-9,9,-9,,,2018-06-01
12,淀川区,139,152,-13,1285,1151,-1,133,120,,,2018-06-01
13,東淀川区,123,134,-11,999,1085,-2,-88,-99,,,2018-06-01
14,東成区,67,76,-9,618,627,-6,-15,-24,,,2018-06-01
15,生野区,76,176,-100,699,723,1,-23,-123,,,2018-06-01
16,旭区,63,106,-43,488,418,-11,59,16,,,2018-06-01
17,城東区,142,147,-5,921,795,-5,121,116,,,2018-06-01
18,鶴見区,104,92,12,441,490,1,-48,-36,,,2018-06-01
19,阿倍野区,83,105,-22,567,561,-7,-1,-23,,,2018-06-01
20,住之江区,62,134,-72,495,498,-1,-4,-76,,,2018-06-01
21,住吉区,108,139,-31,827,691,0,136,105,,,2018-06-01
22,東住吉区,81,150,-69,652,618,0,34,-35,,,2018-06-01
23,平野区,132,190,-58,766,696,-19,51,-7,,,2018-06-01
24,西成区,52,233,-181,703,542,-31,130,-51,,,2018-06-01
