,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1758,2649,-891,13519,12644,-197,678,-213,,,2017-03-01
1,北区,78,76,2,1017,799,-9,209,211,,,2017-03-01
2,都島区,60,87,-27,562,460,0,102,75,,,2017-03-01
3,福島区,68,60,8,422,438,-1,-17,-9,,,2017-03-01
4,此花区,50,52,-2,221,287,-6,-72,-74,,,2017-03-01
5,中央区,72,57,15,870,856,-24,-10,5,,,2017-03-01
6,西区,94,57,37,786,683,-14,89,126,,,2017-03-01
7,港区,50,77,-27,294,304,-15,-25,-52,,,2017-03-01
8,大正区,32,77,-45,205,192,-3,10,-35,,,2017-03-01
9,天王寺区,69,53,16,543,452,-17,74,90,,,2017-03-01
10,浪速区,47,61,-14,779,756,0,23,9,,,2017-03-01
11,西淀川区,59,89,-30,384,391,-5,-12,-42,,,2017-03-01
12,淀川区,126,147,-21,1013,957,-11,45,24,,,2017-03-01
13,東淀川区,104,140,-36,814,802,1,13,-23,,,2017-03-01
14,東成区,43,94,-51,537,418,-11,108,57,,,2017-03-01
15,生野区,68,185,-117,583,528,-2,53,-64,,,2017-03-01
16,旭区,48,103,-55,334,428,0,-94,-149,,,2017-03-01
17,城東区,117,177,-60,707,563,3,147,87,,,2017-03-01
18,鶴見区,104,83,21,395,376,3,22,43,,,2017-03-01
19,阿倍野区,71,76,-5,518,484,-35,-1,-6,,,2017-03-01
20,住之江区,70,127,-57,338,354,0,-16,-73,,,2017-03-01
21,住吉区,101,155,-54,534,631,-13,-110,-164,,,2017-03-01
22,東住吉区,71,157,-86,546,425,-7,114,28,,,2017-03-01
23,平野区,121,212,-91,557,591,-17,-51,-142,,,2017-03-01
24,西成区,35,247,-212,560,469,-14,77,-135,,,2017-03-01
