,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1780,2334,-554,15696,14545,-170,981,427,,,2019-10-01
1,北区,134,67,67,1101,987,-5,109,176,,,2019-10-01
2,都島区,56,80,-24,556,502,-2,52,28,,,2019-10-01
3,福島区,74,47,27,706,454,-7,245,272,,,2019-10-01
4,此花区,39,73,-34,227,328,-13,-114,-148,,,2019-10-01
5,中央区,76,54,22,1104,989,-8,107,129,,,2019-10-01
6,西区,104,46,58,840,842,1,-1,57,,,2019-10-01
7,港区,44,65,-21,335,332,-5,-2,-23,,,2019-10-01
8,大正区,32,53,-21,218,201,1,18,-3,,,2019-10-01
9,天王寺区,64,47,17,529,419,-4,106,123,,,2019-10-01
10,浪速区,50,48,2,949,831,-11,107,109,,,2019-10-01
11,西淀川区,57,74,-17,463,438,-15,10,-7,,,2019-10-01
12,淀川区,134,117,17,1078,1057,-4,17,34,,,2019-10-01
13,東淀川区,94,137,-43,947,870,-21,56,13,,,2019-10-01
14,東成区,42,85,-43,629,719,-1,-91,-134,,,2019-10-01
15,生野区,48,127,-79,790,708,-7,75,-4,,,2019-10-01
16,旭区,59,107,-48,404,326,-5,73,25,,,2019-10-01
17,城東区,126,161,-35,749,667,-7,75,40,,,2019-10-01
18,鶴見区,82,71,11,344,425,0,-81,-70,,,2019-10-01
19,阿倍野区,73,75,-2,552,570,-6,-24,-26,,,2019-10-01
20,住之江区,63,122,-59,485,375,-4,106,47,,,2019-10-01
21,住吉区,90,118,-28,646,641,-2,3,-25,,,2019-10-01
22,東住吉区,93,142,-49,620,555,-7,58,9,,,2019-10-01
23,平野区,115,195,-80,824,749,2,77,-3,,,2019-10-01
24,西成区,31,223,-192,600,560,-40,0,-192,,,2019-10-01
