,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1849,2361,-512,13631,12594,-246,791,279,2016-01-01
1,北区,97,70,27,989,798,-2,189,216,2016-01-01
2,都島区,76,90,-14,493,503,0,-10,-24,2016-01-01
3,福島区,62,50,12,455,356,2,101,113,2016-01-01
4,此花区,49,56,-7,221,235,-10,-24,-31,2016-01-01
5,中央区,95,39,56,995,935,-51,9,65,2016-01-01
6,西区,77,47,30,735,621,-16,98,128,2016-01-01
7,港区,41,61,-20,312,298,-51,-37,-57,2016-01-01
8,大正区,31,84,-53,146,169,1,-22,-75,2016-01-01
9,天王寺区,62,42,20,729,419,1,311,331,2016-01-01
10,浪速区,57,47,10,821,720,-4,97,107,2016-01-01
11,西淀川区,69,77,-8,311,363,-10,-62,-70,2016-01-01
12,淀川区,132,138,-6,910,894,-13,3,-3,2016-01-01
13,東淀川区,121,134,-13,848,781,1,68,55,2016-01-01
14,東成区,50,70,-20,434,349,-8,77,57,2016-01-01
15,生野区,95,153,-58,521,570,-7,-56,-114,2016-01-01
16,旭区,63,88,-25,387,285,0,102,77,2016-01-01
17,城東区,121,143,-22,692,647,-1,44,22,2016-01-01
18,鶴見区,93,88,5,380,392,-1,-13,-8,2016-01-01
19,阿倍野区,62,90,-28,527,473,1,55,27,2016-01-01
20,住之江区,74,108,-34,385,425,0,-40,-74,2016-01-01
21,住吉区,102,142,-40,603,760,0,-157,-197,2016-01-01
22,東住吉区,66,130,-64,547,513,-6,28,-36,2016-01-01
23,平野区,121,198,-77,647,608,-9,30,-47,2016-01-01
24,西成区,33,216,-183,543,480,-63,0,-183,2016-01-01
