,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1653,2277,-624,26183,19276,-261,6646,6022,,,2019-05-01
1,北区,87,62,25,2034,1340,-15,679,704,,,2019-05-01
2,都島区,70,71,-1,1061,744,7,324,323,,,2019-05-01
3,福島区,69,33,36,845,631,-14,200,236,,,2019-05-01
4,此花区,35,59,-24,438,385,-11,42,18,,,2019-05-01
5,中央区,89,47,42,1759,1308,-18,433,475,,,2019-05-01
6,西区,87,42,45,1494,1046,-11,437,482,,,2019-05-01
7,港区,43,65,-22,542,441,-24,77,55,,,2019-05-01
8,大正区,36,69,-33,260,298,1,-37,-70,,,2019-05-01
9,天王寺区,51,49,2,1103,666,-3,434,436,,,2019-05-01
10,浪速区,49,54,-5,1544,962,-8,574,569,,,2019-05-01
11,西淀川区,60,77,-17,715,482,-16,217,200,,,2019-05-01
12,淀川区,96,141,-45,1766,1477,-32,257,212,,,2019-05-01
13,東淀川区,99,148,-49,1549,1215,-1,333,284,,,2019-05-01
14,東成区,51,67,-16,1010,809,0,201,185,,,2019-05-01
15,生野区,79,143,-64,1388,974,1,415,351,,,2019-05-01
16,旭区,44,93,-49,681,522,-8,151,102,,,2019-05-01
17,城東区,95,111,-16,1294,1009,-4,281,265,,,2019-05-01
18,鶴見区,67,80,-13,551,629,7,-71,-84,,,2019-05-01
19,阿倍野区,71,102,-31,1163,654,-20,489,458,,,2019-05-01
20,住之江区,54,130,-76,573,575,-1,-3,-79,,,2019-05-01
21,住吉区,90,119,-29,1116,821,-4,291,262,,,2019-05-01
22,東住吉区,81,124,-43,874,670,-15,189,146,,,2019-05-01
23,平野区,111,193,-82,1196,915,-4,277,195,,,2019-05-01
24,西成区,39,198,-159,1227,703,-68,456,297,,,2019-05-01
