,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1967,2571,-604,17641,15360,-350,1931,1327,,,2019-08-01
1,北区,139,62,77,1225,1060,-12,153,230,,,2019-08-01
2,都島区,85,72,13,648,577,-2,69,82,,,2019-08-01
3,福島区,66,68,-2,613,479,-7,127,125,,,2019-08-01
4,此花区,55,57,-2,299,328,-10,-39,-41,,,2019-08-01
5,中央区,85,59,26,1245,1136,-16,93,119,,,2019-08-01
6,西区,92,64,28,954,894,-13,47,75,,,2019-08-01
7,港区,53,82,-29,357,383,-9,-35,-64,,,2019-08-01
8,大正区,35,94,-59,217,224,-2,-9,-68,,,2019-08-01
9,天王寺区,67,56,11,627,477,-6,144,155,,,2019-08-01
10,浪速区,53,63,-10,1079,815,-25,239,229,,,2019-08-01
11,西淀川区,66,93,-27,503,451,-11,41,14,,,2019-08-01
12,淀川区,132,141,-9,1216,1129,-29,58,49,,,2019-08-01
13,東淀川区,97,143,-46,970,920,-39,11,-35,,,2019-08-01
14,東成区,62,70,-8,652,665,-4,-17,-25,,,2019-08-01
15,生野区,95,177,-82,774,702,-28,44,-38,,,2019-08-01
16,旭区,74,102,-28,453,426,-16,11,-17,,,2019-08-01
17,城東区,134,161,-27,888,744,-7,137,110,,,2019-08-01
18,鶴見区,94,85,9,557,408,2,151,160,,,2019-08-01
19,阿倍野区,80,89,-9,681,493,-15,173,164,,,2019-08-01
20,住之江区,68,125,-57,397,436,-3,-42,-99,,,2019-08-01
21,住吉区,87,125,-38,815,683,-7,125,87,,,2019-08-01
22,東住吉区,83,140,-57,697,536,-17,144,87,,,2019-08-01
23,平野区,125,197,-72,956,820,-1,135,63,,,2019-08-01
24,西成区,40,246,-206,818,574,-73,171,-35,,,2019-08-01
