,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1982,2120,-138,13398,12614,-341,443,305,,,2016-10-01
1,北区,115,69,46,825,852,-23,-50,-4,,,2016-10-01
2,都島区,77,74,3,655,442,-2,211,214,,,2016-10-01
3,福島区,60,31,29,373,376,-5,-8,21,,,2016-10-01
4,此花区,64,46,18,281,205,-9,67,85,,,2016-10-01
5,中央区,88,57,31,914,830,-39,45,76,,,2016-10-01
6,西区,95,33,62,746,659,-30,57,119,,,2016-10-01
7,港区,64,80,-16,310,348,-9,-47,-63,,,2016-10-01
8,大正区,40,64,-24,207,152,0,55,31,,,2016-10-01
9,天王寺区,64,55,9,434,383,-17,34,43,,,2016-10-01
10,浪速区,56,53,3,804,752,-64,-12,-9,,,2016-10-01
11,西淀川区,66,57,9,304,346,-2,-44,-35,,,2016-10-01
12,淀川区,147,114,33,1006,906,-11,89,122,,,2016-10-01
13,東淀川区,110,117,-7,820,815,-13,-8,-15,,,2016-10-01
14,東成区,46,70,-24,350,418,-9,-77,-101,,,2016-10-01
15,生野区,72,140,-68,655,567,-6,82,14,,,2016-10-01
16,旭区,59,87,-28,391,354,-3,34,6,,,2016-10-01
17,城東区,111,120,-9,686,690,-1,-5,-14,,,2016-10-01
18,鶴見区,85,67,18,370,391,-4,-25,-7,,,2016-10-01
19,阿倍野区,84,96,-12,511,483,-11,17,5,,,2016-10-01
20,住之江区,79,85,-6,394,383,-8,3,-3,,,2016-10-01
21,住吉区,112,120,-8,579,637,0,-58,-66,,,2016-10-01
22,東住吉区,105,129,-24,543,497,-52,-6,-30,,,2016-10-01
23,平野区,138,159,-21,661,644,-11,6,-15,,,2016-10-01
24,西成区,45,197,-152,579,484,-12,83,-69,,,2016-10-01
