,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1870,2086,-216,13630,11965,-301,1364,1148,,,2016-08-01
1,北区,99,70,29,975,767,-16,192,221,,,2016-08-01
2,都島区,71,75,-4,521,411,-13,97,93,,,2016-08-01
3,福島区,73,42,31,420,374,0,46,77,,,2016-08-01
4,此花区,45,51,-6,243,244,0,-1,-7,,,2016-08-01
5,中央区,87,38,49,1038,841,-49,148,197,,,2016-08-01
6,西区,93,52,41,822,630,-19,173,214,,,2016-08-01
7,港区,39,73,-34,275,247,-9,19,-15,,,2016-08-01
8,大正区,38,55,-17,191,177,-1,13,-4,,,2016-08-01
9,天王寺区,71,39,32,440,366,-7,67,99,,,2016-08-01
10,浪速区,65,58,7,845,743,-8,94,101,,,2016-08-01
11,西淀川区,63,57,6,362,322,-4,36,42,,,2016-08-01
12,淀川区,128,128,0,952,877,-21,54,54,,,2016-08-01
13,東淀川区,100,116,-16,754,785,-17,-48,-64,,,2016-08-01
14,東成区,69,58,11,443,366,-14,63,74,,,2016-08-01
15,生野区,77,130,-53,579,551,1,29,-24,,,2016-08-01
16,旭区,58,82,-24,367,363,-49,-45,-69,,,2016-08-01
17,城東区,116,104,12,710,644,0,66,78,,,2016-08-01
18,鶴見区,96,72,24,385,338,0,47,71,,,2016-08-01
19,阿倍野区,66,84,-18,464,450,-12,2,-16,,,2016-08-01
20,住之江区,78,96,-18,432,394,-1,37,19,,,2016-08-01
21,住吉区,113,118,-5,575,622,-9,-56,-61,,,2016-08-01
22,東住吉区,66,131,-65,583,435,-5,143,78,,,2016-08-01
23,平野区,117,173,-56,674,644,-13,17,-39,,,2016-08-01
24,西成区,42,184,-142,580,374,-35,171,29,,,2016-08-01
