,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1546,2601,-1055,14478,13055,-348,1075,20,,,2019-03-01
1,北区,98,79,19,1113,860,-22,231,250,,,2019-03-01
2,都島区,60,91,-31,453,451,-3,-1,-32,,,2019-03-01
3,福島区,54,49,5,475,476,-2,-3,2,,,2019-03-01
4,此花区,29,61,-32,277,296,-39,-58,-90,,,2019-03-01
5,中央区,67,60,7,1043,860,-153,30,37,,,2019-03-01
6,西区,96,54,42,762,717,-3,42,84,,,2019-03-01
7,港区,43,101,-58,391,317,-19,55,-3,,,2019-03-01
8,大正区,25,80,-55,172,211,0,-39,-94,,,2019-03-01
9,天王寺区,62,44,18,461,447,-8,6,24,,,2019-03-01
10,浪速区,40,58,-18,827,666,-11,150,132,,,2019-03-01
11,西淀川区,59,82,-23,454,418,-7,29,6,,,2019-03-01
12,淀川区,109,136,-27,1001,998,0,3,-24,,,2019-03-01
13,東淀川区,82,145,-63,799,821,3,-19,-82,,,2019-03-01
14,東成区,53,77,-24,581,537,-44,0,-24,,,2019-03-01
15,生野区,73,157,-84,653,589,-5,59,-25,,,2019-03-01
16,旭区,45,124,-79,322,355,-4,-37,-116,,,2019-03-01
17,城東区,91,143,-52,756,678,2,80,28,,,2019-03-01
18,鶴見区,78,90,-12,401,345,-2,54,42,,,2019-03-01
19,阿倍野区,56,93,-37,591,444,-5,142,105,,,2019-03-01
20,住之江区,61,130,-69,395,389,5,11,-58,,,2019-03-01
21,住吉区,70,154,-84,646,594,-2,50,-34,,,2019-03-01
22,東住吉区,62,141,-79,624,444,-10,170,91,,,2019-03-01
23,平野区,99,219,-120,715,718,5,2,-118,,,2019-03-01
24,西成区,34,233,-199,566,424,-24,118,-81,,,2019-03-01
