,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1705,2476,-771,15148,13611,-192,1345,574,,,2020-01-01
1,北区,105,80,25,967,895,-5,67,92,,,2020-01-01
2,都島区,81,83,-2,506,464,-5,37,35,,,2020-01-01
3,福島区,72,48,24,718,410,-7,301,325,,,2020-01-01
4,此花区,46,62,-16,292,264,-9,19,3,,,2020-01-01
5,中央区,74,66,8,1065,970,-4,91,99,,,2020-01-01
6,西区,96,63,33,1007,744,-3,260,293,,,2020-01-01
7,港区,40,80,-40,335,427,-6,-98,-138,,,2020-01-01
8,大正区,30,65,-35,176,233,1,-56,-91,,,2020-01-01
9,天王寺区,63,48,15,580,395,-11,174,189,,,2020-01-01
10,浪速区,59,57,2,830,763,-22,45,47,,,2020-01-01
11,西淀川区,51,81,-30,384,425,-13,-54,-84,,,2020-01-01
12,淀川区,115,128,-13,994,919,-4,71,58,,,2020-01-01
13,東淀川区,97,166,-69,830,809,-15,6,-63,,,2020-01-01
14,東成区,39,79,-40,587,613,0,-26,-66,,,2020-01-01
15,生野区,58,156,-98,662,577,-55,30,-68,,,2020-01-01
16,旭区,49,109,-60,344,309,-13,22,-38,,,2020-01-01
17,城東区,118,152,-34,757,694,0,63,29,,,2020-01-01
18,鶴見区,83,85,-2,415,362,1,54,52,,,2020-01-01
19,阿倍野区,57,87,-30,538,371,-6,161,131,,,2020-01-01
20,住之江区,55,116,-61,401,416,-3,-18,-79,,,2020-01-01
21,住吉区,88,154,-66,599,744,4,-141,-207,,,2020-01-01
22,東住吉区,87,133,-46,649,552,-6,91,45,,,2020-01-01
23,平野区,111,184,-73,830,703,4,131,58,,,2020-01-01
24,西成区,31,194,-163,682,552,-15,115,-48,,,2020-01-01
