,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1930,2295,-365,14916,12829,-267,1820,1455,,,2016-11-01
1,北区,108,65,43,943,824,-14,105,148,,,2016-11-01
2,都島区,67,71,-4,524,425,-5,94,90,,,2016-11-01
3,福島区,86,51,35,437,394,0,43,78,,,2016-11-01
4,此花区,45,56,-11,304,261,-1,42,31,,,2016-11-01
5,中央区,93,56,37,972,947,-35,-10,27,,,2016-11-01
6,西区,112,29,83,903,661,-19,223,306,,,2016-11-01
7,港区,52,71,-19,332,291,-5,36,17,,,2016-11-01
8,大正区,36,68,-32,182,199,-5,-22,-54,,,2016-11-01
9,天王寺区,78,41,37,466,399,-69,-2,35,,,2016-11-01
10,浪速区,48,54,-6,1089,725,-6,358,352,,,2016-11-01
11,西淀川区,45,82,-37,371,334,-10,27,-10,,,2016-11-01
12,淀川区,129,133,-4,1036,961,-14,61,57,,,2016-11-01
13,東淀川区,115,157,-42,884,846,-2,36,-6,,,2016-11-01
14,東成区,61,72,-11,489,355,-9,125,114,,,2016-11-01
15,生野区,68,147,-79,846,595,-6,245,166,,,2016-11-01
16,旭区,54,87,-33,364,338,-2,24,-9,,,2016-11-01
17,城東区,133,142,-9,804,685,-3,116,107,,,2016-11-01
18,鶴見区,96,77,19,386,453,3,-64,-45,,,2016-11-01
19,阿倍野区,82,89,-7,645,423,-8,214,207,,,2016-11-01
20,住之江区,78,92,-14,411,346,1,66,52,,,2016-11-01
21,住吉区,102,114,-12,590,642,-2,-54,-66,,,2016-11-01
22,東住吉区,80,152,-72,566,510,-3,53,-19,,,2016-11-01
23,平野区,123,182,-59,674,681,-14,-21,-80,,,2016-11-01
24,西成区,39,207,-168,698,534,-39,125,-43,,,2016-11-01
