,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1690,2502,-812,14368,12656,-166,1546,734,,,2019-12-01
1,北区,108,81,27,1020,893,-23,104,131,,,2019-12-01
2,都島区,54,77,-23,486,425,-2,59,36,,,2019-12-01
3,福島区,59,51,8,601,370,-2,229,237,,,2019-12-01
4,此花区,33,62,-29,240,236,-1,3,-26,,,2019-12-01
5,中央区,87,42,45,1064,860,-13,191,236,,,2019-12-01
6,西区,94,54,40,758,645,1,114,154,,,2019-12-01
7,港区,40,86,-46,322,291,-2,29,-17,,,2019-12-01
8,大正区,21,64,-43,171,188,-2,-19,-62,,,2019-12-01
9,天王寺区,60,50,10,417,422,-7,-12,-2,,,2019-12-01
10,浪速区,42,68,-26,770,776,-3,-9,-35,,,2019-12-01
11,西淀川区,60,110,-50,406,392,-5,9,-41,,,2019-12-01
12,淀川区,122,149,-27,1112,874,-29,209,182,,,2019-12-01
13,東淀川区,120,165,-45,843,733,-10,100,55,,,2019-12-01
14,東成区,51,69,-18,663,522,-2,139,121,,,2019-12-01
15,生野区,64,157,-93,698,633,-6,59,-34,,,2019-12-01
16,旭区,47,89,-42,378,271,-2,105,63,,,2019-12-01
17,城東区,118,141,-23,675,676,4,3,-20,,,2019-12-01
18,鶴見区,72,89,-17,385,342,-2,41,24,,,2019-12-01
19,阿倍野区,66,102,-36,474,473,-2,-1,-37,,,2019-12-01
20,住之江区,57,120,-63,444,380,4,68,5,,,2019-12-01
21,住吉区,101,142,-41,616,564,-3,49,8,,,2019-12-01
22,東住吉区,76,127,-51,529,445,-5,79,28,,,2019-12-01
23,平野区,99,212,-113,739,713,0,26,-87,,,2019-12-01
24,西成区,39,195,-156,557,532,-54,-29,-185,,,2019-12-01
