,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1914,2189,-275,14585,12915,-365,1305,1030,,,2017-08-01
1,北区,109,70,39,1074,856,-14,204,243,,,2017-08-01
2,都島区,73,59,14,580,452,-8,120,134,,,2017-08-01
3,福島区,60,46,14,460,375,0,85,99,,,2017-08-01
4,此花区,47,62,-15,307,227,-1,79,64,,,2017-08-01
5,中央区,88,43,45,1049,969,-41,39,84,,,2017-08-01
6,西区,93,48,45,807,685,-17,105,150,,,2017-08-01
7,港区,51,92,-41,291,268,-6,17,-24,,,2017-08-01
8,大正区,46,68,-22,194,179,1,16,-6,,,2017-08-01
9,天王寺区,59,41,18,505,453,-8,44,62,,,2017-08-01
10,浪速区,51,51,0,901,783,-7,111,111,,,2017-08-01
11,西淀川区,58,71,-13,433,372,-7,54,41,,,2017-08-01
12,淀川区,121,98,23,1034,933,-18,83,106,,,2017-08-01
13,東淀川区,137,116,21,811,870,-8,-67,-46,,,2017-08-01
14,東成区,45,69,-24,534,419,-24,91,67,,,2017-08-01
15,生野区,70,121,-51,643,571,-18,54,3,,,2017-08-01
16,旭区,50,92,-42,384,341,-12,31,-11,,,2017-08-01
17,城東区,138,150,-12,780,690,-37,53,41,,,2017-08-01
18,鶴見区,94,80,14,383,366,-1,16,30,,,2017-08-01
19,阿倍野区,80,82,-2,475,527,-33,-85,-87,,,2017-08-01
20,住之江区,72,103,-31,398,379,-2,17,-14,,,2017-08-01
21,住吉区,111,158,-47,627,569,-5,53,6,,,2017-08-01
22,東住吉区,88,116,-28,542,492,-4,46,18,,,2017-08-01
23,平野区,127,162,-35,703,681,-21,1,-34,,,2017-08-01
24,西成区,46,191,-145,670,458,-74,138,-7,,,2017-08-01
