,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1671,2428,-757,13994,12871,-247,876,119,,,2019-01-01
1,北区,111,74,37,904,848,-27,29,66,,,2019-01-01
2,都島区,69,86,-17,487,442,-6,39,22,,,2019-01-01
3,福島区,73,37,36,458,366,-3,89,125,,,2019-01-01
4,此花区,35,69,-34,210,259,-2,-51,-85,,,2019-01-01
5,中央区,75,40,35,951,866,-14,71,106,,,2019-01-01
6,西区,70,49,21,801,684,-37,80,101,,,2019-01-01
7,港区,45,91,-46,337,317,-11,9,-37,,,2019-01-01
8,大正区,35,66,-31,188,190,-14,-16,-47,,,2019-01-01
9,天王寺区,62,38,24,487,392,-14,81,105,,,2019-01-01
10,浪速区,50,57,-7,744,705,-10,29,22,,,2019-01-01
11,西淀川区,44,97,-53,496,413,-13,70,17,,,2019-01-01
12,淀川区,126,152,-26,982,936,-3,43,17,,,2019-01-01
13,東淀川区,101,157,-56,791,800,2,-7,-63,,,2019-01-01
14,東成区,48,56,-8,601,568,-2,31,23,,,2019-01-01
15,生野区,67,170,-103,498,509,-4,-15,-118,,,2019-01-01
16,旭区,50,90,-40,420,350,-1,69,29,,,2019-01-01
17,城東区,100,125,-25,757,651,1,107,82,,,2019-01-01
18,鶴見区,97,70,27,456,413,-7,36,63,,,2019-01-01
19,阿倍野区,64,96,-32,607,363,-9,235,203,,,2019-01-01
20,住之江区,60,120,-60,381,429,-3,-51,-111,,,2019-01-01
21,住吉区,99,141,-42,594,726,-2,-134,-176,,,2019-01-01
22,東住吉区,69,133,-64,619,476,-6,137,73,,,2019-01-01
23,平野区,88,203,-115,686,675,0,11,-104,,,2019-01-01
24,西成区,33,211,-178,539,493,-62,-16,-194,,,2019-01-01
