,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1794,2643,-849,28525,23969,-526,4030,3181,,,2018-04-01
1,北区,100,79,21,2818,1502,-37,1279,1300,,,2018-04-01
2,都島区,62,100,-38,1052,959,-52,41,3,,,2018-04-01
3,福島区,67,57,10,964,886,-6,72,82,,,2018-04-01
4,此花区,34,77,-43,474,468,-28,-22,-65,,,2018-04-01
5,中央区,73,52,21,1936,1512,-41,383,404,,,2018-04-01
6,西区,93,44,49,1702,1283,-3,416,465,,,2018-04-01
7,港区,48,91,-43,786,576,-21,189,146,,,2018-04-01
8,大正区,29,93,-64,317,373,-33,-89,-153,,,2018-04-01
9,天王寺区,73,41,32,964,918,-14,32,64,,,2018-04-01
10,浪速区,49,50,-1,1282,1218,-6,58,57,,,2018-04-01
11,西淀川区,63,90,-27,769,684,-8,77,50,,,2018-04-01
12,淀川区,130,142,-12,2209,1681,-4,524,512,,,2018-04-01
13,東淀川区,116,161,-45,1806,1560,-22,224,179,,,2018-04-01
14,東成区,50,73,-23,1077,680,-30,367,344,,,2018-04-01
15,生野区,56,139,-83,1204,1064,-14,126,43,,,2018-04-01
16,旭区,66,109,-43,713,605,-21,87,44,,,2018-04-01
17,城東区,129,151,-22,1532,1386,1,147,125,,,2018-04-01
18,鶴見区,75,82,-7,647,878,-5,-236,-243,,,2018-04-01
19,阿倍野区,78,102,-24,1207,1022,-43,142,118,,,2018-04-01
20,住之江区,64,131,-67,792,747,-2,43,-24,,,2018-04-01
21,住吉区,91,151,-60,1192,1091,6,107,47,,,2018-04-01
22,東住吉区,86,153,-67,1000,954,-30,16,-51,,,2018-04-01
23,平野区,128,208,-80,1142,1198,-19,-75,-155,,,2018-04-01
24,西成区,34,267,-233,940,724,-94,122,-111,,,2018-04-01
