,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1866,3194,-1328,13745,12584,-183,978,-350,,,2019-02-01
1,北区,116,94,22,1004,777,-22,205,227,,,2019-02-01
2,都島区,74,106,-32,488,461,-5,22,-10,,,2019-02-01
3,福島区,62,65,-3,468,397,-5,66,63,,,2019-02-01
4,此花区,48,73,-25,240,271,-3,-34,-59,,,2019-02-01
5,中央区,87,65,22,979,814,-12,153,175,,,2019-02-01
6,西区,100,58,42,785,713,1,73,115,,,2019-02-01
7,港区,41,108,-67,340,274,-24,42,-25,,,2019-02-01
8,大正区,27,94,-67,153,201,4,-44,-111,,,2019-02-01
9,天王寺区,67,66,1,419,439,-2,-22,-21,,,2019-02-01
10,浪速区,58,65,-7,815,659,-5,151,144,,,2019-02-01
11,西淀川区,53,105,-52,384,427,-9,-52,-104,,,2019-02-01
12,淀川区,116,173,-57,1013,977,-38,-2,-59,,,2019-02-01
13,東淀川区,111,198,-87,877,766,1,112,25,,,2019-02-01
14,東成区,59,89,-30,613,519,-2,92,62,,,2019-02-01
15,生野区,69,215,-146,618,603,-4,11,-135,,,2019-02-01
16,旭区,52,130,-78,373,339,-6,28,-50,,,2019-02-01
17,城東区,135,178,-43,712,614,1,99,56,,,2019-02-01
18,鶴見区,94,120,-26,333,359,0,-26,-52,,,2019-02-01
19,阿倍野区,74,120,-46,502,401,-13,88,42,,,2019-02-01
20,住之江区,59,172,-113,400,414,-1,-15,-128,,,2019-02-01
21,住吉区,101,202,-101,578,539,-1,38,-63,,,2019-02-01
22,東住吉区,81,162,-81,530,429,-17,84,3,,,2019-02-01
23,平野区,143,249,-106,634,708,3,-71,-177,,,2019-02-01
24,西成区,39,287,-248,487,483,-24,-20,-268,,,2019-02-01
