,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1878,2453,-575,15823,14544,-183,1096,521,,,2017-06-01
1,北区,112,84,28,1257,945,-13,299,327,,,2017-06-01
2,都島区,65,94,-29,597,495,-9,93,64,,,2017-06-01
3,福島区,70,52,18,575,427,-6,142,160,,,2017-06-01
4,此花区,63,82,-19,244,269,3,-22,-41,,,2017-06-01
5,中央区,90,49,41,1105,1020,-32,53,94,,,2017-06-01
6,西区,95,45,50,927,823,-6,98,148,,,2017-06-01
7,港区,44,89,-45,343,360,-4,-21,-66,,,2017-06-01
8,大正区,47,78,-31,226,219,1,8,-23,,,2017-06-01
9,天王寺区,68,45,23,558,517,-9,32,55,,,2017-06-01
10,浪速区,41,56,-15,865,777,-8,80,65,,,2017-06-01
11,西淀川区,60,80,-20,416,441,-7,-32,-52,,,2017-06-01
12,淀川区,132,143,-11,1219,1183,-13,23,12,,,2017-06-01
13,東淀川区,112,159,-47,1026,996,-3,27,-20,,,2017-06-01
14,東成区,62,71,-9,581,465,-8,108,99,,,2017-06-01
15,生野区,76,149,-73,639,627,-7,5,-68,,,2017-06-01
16,旭区,65,78,-13,425,435,-4,-14,-27,,,2017-06-01
17,城東区,115,150,-35,763,720,0,43,8,,,2017-06-01
18,鶴見区,92,68,24,408,437,-4,-33,-9,,,2017-06-01
19,阿倍野区,71,86,-15,591,588,-4,-1,-16,,,2017-06-01
20,住之江区,72,126,-54,445,441,-5,-1,-55,,,2017-06-01
21,住吉区,86,141,-55,761,565,-1,195,140,,,2017-06-01
22,東住吉区,77,127,-50,575,534,-4,37,-13,,,2017-06-01
23,平野区,134,194,-60,694,776,-18,-100,-160,,,2017-06-01
24,西成区,29,207,-178,583,484,-22,77,-101,,,2017-06-01
