,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1583,2500,-917,15001,13118,-186,1697,780,,,2020-03-01
1,北区,95,71,24,1031,885,-22,124,148,,,2020-03-01
2,都島区,51,84,-33,445,499,-6,-60,-93,,,2020-03-01
3,福島区,68,41,27,484,367,-5,112,139,,,2020-03-01
4,此花区,38,45,-7,253,262,-15,-24,-31,,,2020-03-01
5,中央区,85,47,38,1229,988,-1,240,278,,,2020-03-01
6,西区,75,60,15,834,669,2,167,182,,,2020-03-01
7,港区,44,83,-39,448,384,-12,52,13,,,2020-03-01
8,大正区,24,73,-49,194,181,-15,-2,-51,,,2020-03-01
9,天王寺区,46,52,-6,455,366,-4,85,79,,,2020-03-01
10,浪速区,44,62,-18,850,706,0,144,126,,,2020-03-01
11,西淀川区,53,80,-27,444,433,-10,1,-26,,,2020-03-01
12,淀川区,112,139,-27,1079,915,1,165,138,,,2020-03-01
13,東淀川区,89,147,-58,851,806,-11,34,-24,,,2020-03-01
14,東成区,45,90,-45,618,565,1,54,9,,,2020-03-01
15,生野区,71,171,-100,713,619,-4,90,-10,,,2020-03-01
16,旭区,44,94,-50,389,395,-5,-11,-61,,,2020-03-01
17,城東区,110,155,-45,748,644,5,109,64,,,2020-03-01
18,鶴見区,75,85,-10,414,354,-8,52,42,,,2020-03-01
19,阿倍野区,70,88,-18,551,468,-6,77,59,,,2020-03-01
20,住之江区,60,149,-89,417,397,-3,17,-72,,,2020-03-01
21,住吉区,82,146,-64,681,573,3,111,47,,,2020-03-01
22,東住吉区,61,165,-104,538,495,-6,37,-67,,,2020-03-01
23,平野区,108,165,-57,696,654,-13,29,-28,,,2020-03-01
24,西成区,33,208,-175,639,493,-52,94,-81,,,2020-03-01
