,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1863,3094,-1231,12070,11609,-228,233,-998,,,2017-02-01
1,北区,111,86,25,889,767,-14,108,133,,,2017-02-01
2,都島区,72,117,-45,430,435,0,-5,-50,,,2017-02-01
3,福島区,73,65,8,346,344,0,2,10,,,2017-02-01
4,此花区,46,93,-47,242,223,-5,14,-33,,,2017-02-01
5,中央区,79,65,14,879,761,-34,84,98,,,2017-02-01
6,西区,90,61,29,690,649,-13,28,57,,,2017-02-01
7,港区,48,100,-52,251,300,-36,-85,-137,,,2017-02-01
8,大正区,38,84,-46,170,156,0,14,-32,,,2017-02-01
9,天王寺区,74,66,8,387,329,-3,55,63,,,2017-02-01
10,浪速区,53,65,-12,701,667,-32,2,-10,,,2017-02-01
11,西淀川区,57,117,-60,328,402,-1,-75,-135,,,2017-02-01
12,淀川区,143,170,-27,932,842,-12,78,51,,,2017-02-01
13,東淀川区,131,166,-35,742,801,0,-59,-94,,,2017-02-01
14,東成区,52,102,-50,439,418,-5,16,-34,,,2017-02-01
15,生野区,54,186,-132,495,514,-7,-26,-158,,,2017-02-01
16,旭区,40,160,-120,337,330,5,12,-108,,,2017-02-01
17,城東区,122,180,-58,600,583,2,19,-39,,,2017-02-01
18,鶴見区,103,111,-8,355,408,-1,-54,-62,,,2017-02-01
19,阿倍野区,67,116,-49,451,431,-5,15,-34,,,2017-02-01
20,住之江区,53,154,-101,375,366,-13,-4,-105,,,2017-02-01
21,住吉区,99,171,-72,492,519,0,-27,-99,,,2017-02-01
22,東住吉区,82,184,-102,454,390,-17,47,-55,,,2017-02-01
23,平野区,142,257,-115,529,580,-11,-62,-177,,,2017-02-01
24,西成区,34,218,-184,556,394,-26,136,-48,,,2017-02-01
