,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1684,2779,-1095,13905,12964,-185,756,-339,,,2018-03-01
1,北区,84,105,-21,995,878,-15,102,81,,,2018-03-01
2,都島区,78,103,-25,488,466,0,22,-3,,,2018-03-01
3,福島区,69,45,24,487,441,0,46,70,,,2018-03-01
4,此花区,35,74,-39,236,254,-2,-20,-59,,,2018-03-01
5,中央区,68,57,11,927,887,-19,21,32,,,2018-03-01
6,西区,94,62,32,734,659,-2,73,105,,,2018-03-01
7,港区,35,90,-55,453,328,-9,116,61,,,2018-03-01
8,大正区,30,86,-56,184,221,0,-37,-93,,,2018-03-01
9,天王寺区,50,65,-15,512,465,-4,43,28,,,2018-03-01
10,浪速区,48,64,-16,676,659,-10,7,-9,,,2018-03-01
11,西淀川区,58,81,-23,367,382,-13,-28,-51,,,2018-03-01
12,淀川区,131,165,-34,1025,883,-25,117,83,,,2018-03-01
13,東淀川区,103,170,-67,801,971,5,-165,-232,,,2018-03-01
14,東成区,58,63,-5,625,443,-16,166,161,,,2018-03-01
15,生野区,78,184,-106,629,605,-13,11,-95,,,2018-03-01
16,旭区,51,98,-47,355,369,0,-14,-61,,,2018-03-01
17,城東区,116,149,-33,893,672,2,223,190,,,2018-03-01
18,鶴見区,88,95,-7,368,413,-7,-52,-59,,,2018-03-01
19,阿倍野区,69,99,-30,519,438,-13,68,38,,,2018-03-01
20,住之江区,60,110,-50,368,358,1,11,-39,,,2018-03-01
21,住吉区,77,185,-108,575,588,-5,-18,-126,,,2018-03-01
22,東住吉区,71,161,-90,533,494,-6,33,-57,,,2018-03-01
23,平野区,102,220,-118,622,610,-15,-3,-121,,,2018-03-01
24,西成区,31,248,-217,533,480,-19,34,-183,,,2018-03-01
