,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1945,3263,-1318,13042,12069,-326,647,-671,,,2018-02-01
1,北区,117,114,3,938,816,-12,110,113,,,2018-02-01
2,都島区,84,102,-18,478,443,1,36,18,,,2018-02-01
3,福島区,64,60,4,491,374,0,117,121,,,2018-02-01
4,此花区,37,83,-46,251,219,0,32,-14,,,2018-02-01
5,中央区,85,65,20,948,902,-70,-24,-4,,,2018-02-01
6,西区,106,66,40,741,663,-4,74,114,,,2018-02-01
7,港区,35,111,-76,362,334,-10,18,-58,,,2018-02-01
8,大正区,31,104,-73,170,173,-1,-4,-77,,,2018-02-01
9,天王寺区,53,76,-23,437,338,-3,96,73,,,2018-02-01
10,浪速区,59,72,-13,670,763,-85,-178,-191,,,2018-02-01
11,西淀川区,63,106,-43,413,344,-3,66,23,,,2018-02-01
12,淀川区,145,174,-29,959,830,-10,119,90,,,2018-02-01
13,東淀川区,132,192,-60,838,745,-3,90,30,,,2018-02-01
14,東成区,58,104,-46,474,488,-17,-31,-77,,,2018-02-01
15,生野区,62,204,-142,648,568,-8,72,-70,,,2018-02-01
16,旭区,58,118,-60,346,277,-4,65,5,,,2018-02-01
17,城東区,126,201,-75,681,634,4,51,-24,,,2018-02-01
18,鶴見区,96,118,-22,281,363,1,-81,-103,,,2018-02-01
19,阿倍野区,87,142,-55,430,376,-4,50,-5,,,2018-02-01
20,住之江区,78,145,-67,365,378,-1,-14,-81,,,2018-02-01
21,住吉区,113,169,-56,514,566,-3,-55,-111,,,2018-02-01
22,東住吉区,91,184,-93,475,479,-15,-19,-112,,,2018-02-01
23,平野区,130,257,-127,594,543,-11,40,-87,,,2018-02-01
24,西成区,35,296,-261,538,453,-68,17,-244,,,2018-02-01
