,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,Unnamed: 9,Unnamed: 10,日付
0,総数,1925,2693,-768,17473,15407,-167,1899,1131,,,2019-06-01
1,北区,111,95,16,1313,1064,-17,232,248,,,2019-06-01
2,都島区,82,86,-4,607,596,0,11,7,,,2019-06-01
3,福島区,72,52,20,597,558,-2,37,57,,,2019-06-01
4,此花区,42,61,-19,270,245,-7,18,-1,,,2019-06-01
5,中央区,95,44,51,1181,1090,-8,83,134,,,2019-06-01
6,西区,103,56,47,1005,766,2,241,288,,,2019-06-01
7,港区,60,90,-30,372,370,-11,-9,-39,,,2019-06-01
8,大正区,28,78,-50,207,224,-3,-20,-70,,,2019-06-01
9,天王寺区,64,49,15,576,518,-5,53,68,,,2019-06-01
10,浪速区,55,63,-8,859,817,-16,26,18,,,2019-06-01
11,西淀川区,73,97,-24,534,460,-15,59,35,,,2019-06-01
12,淀川区,139,147,-8,1298,1160,-2,136,128,,,2019-06-01
13,東淀川区,98,155,-57,1133,1001,-4,128,71,,,2019-06-01
14,東成区,62,73,-11,695,675,-3,17,6,,,2019-06-01
15,生野区,76,172,-96,809,717,1,93,-3,,,2019-06-01
16,旭区,68,127,-59,459,402,0,57,-2,,,2019-06-01
17,城東区,134,152,-18,935,792,0,143,125,,,2019-06-01
18,鶴見区,89,88,1,418,462,-4,-48,-47,,,2019-06-01
19,阿倍野区,70,111,-41,629,473,-15,141,100,,,2019-06-01
20,住之江区,71,136,-65,446,470,1,-23,-88,,,2019-06-01
21,住吉区,90,162,-72,779,682,-1,96,24,,,2019-06-01
22,東住吉区,73,153,-80,710,509,-5,196,116,,,2019-06-01
23,平野区,134,208,-74,865,863,1,3,-71,,,2019-06-01
24,西成区,36,238,-202,776,493,-54,229,27,,,2019-06-01
