,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1888,2782,-894,12236,11110,-270,856,-38,2016-02-01
1,北区,99,59,40,968,722,-4,242,282,2016-02-01
2,都島区,76,102,-26,435,379,-2,54,28,2016-02-01
3,福島区,69,63,6,398,386,5,17,23,2016-02-01
4,此花区,55,65,-10,224,243,-12,-31,-41,2016-02-01
5,中央区,98,71,27,998,757,-45,196,223,2016-02-01
6,西区,84,52,32,705,590,-11,104,136,2016-02-01
7,港区,42,101,-59,285,258,-30,-3,-62,2016-02-01
8,大正区,33,87,-54,151,176,2,-23,-77,2016-02-01
9,天王寺区,73,57,16,415,337,3,81,97,2016-02-01
10,浪速区,50,64,-14,876,673,0,203,189,2016-02-01
11,西淀川区,67,101,-34,290,280,-7,3,-31,2016-02-01
12,淀川区,123,143,-20,847,788,-12,47,27,2016-02-01
13,東淀川区,116,173,-57,704,734,-5,-35,-92,2016-02-01
14,東成区,66,108,-42,325,326,-6,-7,-49,2016-02-01
15,生野区,75,191,-116,532,543,-25,-36,-152,2016-02-01
16,旭区,58,95,-37,276,309,-1,-34,-71,2016-02-01
17,城東区,124,151,-27,679,555,-1,123,96,2016-02-01
18,鶴見区,110,86,24,335,353,3,-15,9,2016-02-01
19,阿倍野区,80,102,-22,434,364,-39,31,9,2016-02-01
20,住之江区,61,157,-96,325,333,-10,-18,-114,2016-02-01
21,住吉区,84,181,-97,476,535,0,-59,-156,2016-02-01
22,東住吉区,84,121,-37,445,461,-3,-19,-56,2016-02-01
23,平野区,125,205,-80,603,567,-12,24,-56,2016-02-01
24,西成区,36,247,-211,510,441,-58,11,-200,2016-02-01
