,区名,出生,死亡,差,転入,転出,その他,差.1,増減人口,日付
0,総数,1956,2744,-788,13931,13315,-184,432,-356,2016-03-01
1,北区,105,81,24,1111,863,-5,243,267,2016-03-01
2,都島区,78,80,-2,507,398,-2,107,105,2016-03-01
3,福島区,68,54,14,437,409,-3,25,39,2016-03-01
4,此花区,64,75,-11,268,265,2,5,-6,2016-03-01
5,中央区,96,51,45,950,912,-31,7,52,2016-03-01
6,西区,92,54,38,787,686,-11,90,128,2016-03-01
7,港区,61,89,-28,357,335,-11,11,-17,2016-03-01
8,大正区,31,85,-54,211,238,-4,-31,-85,2016-03-01
9,天王寺区,59,53,6,476,410,-1,65,71,2016-03-01
10,浪速区,51,71,-20,807,750,-7,50,30,2016-03-01
11,西淀川区,70,81,-11,371,348,-24,-1,-12,2016-03-01
12,淀川区,131,148,-17,929,1030,0,-101,-118,2016-03-01
13,東淀川区,114,158,-44,891,932,-4,-45,-89,2016-03-01
14,東成区,67,79,-12,443,428,-13,2,-10,2016-03-01
15,生野区,67,179,-112,589,584,0,5,-107,2016-03-01
16,旭区,57,97,-40,347,375,0,-28,-68,2016-03-01
17,城東区,122,174,-52,719,705,10,24,-28,2016-03-01
18,鶴見区,101,95,6,404,416,-4,-16,-10,2016-03-01
19,阿倍野区,78,110,-32,544,464,-5,75,43,2016-03-01
20,住之江区,80,127,-47,413,416,-4,-7,-54,2016-03-01
21,住吉区,107,168,-61,593,652,0,-59,-120,2016-03-01
22,東住吉区,88,164,-76,574,550,-2,22,-54,2016-03-01
23,平野区,124,223,-99,681,688,-18,-25,-124,2016-03-01
24,西成区,45,248,-203,522,461,-47,14,-189,2016-03-01
